Modules loaded....
Namespace(augment=True, batch_size=128, cpu=False, data_set='cifar10', epochs=300, lr=0.1, model='AlexNet', momentum=0.6, name='exp1', nesterov=False, print_freq=10, resume='', seed=1, start_epoch=0, tensorboard=True, weight_decay=0.0)
Tensorboard:  True
Files already downloaded and verified
Number of model parameters: 23238474
using : SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.6
    nesterov: False
    weight_decay: 0.0
)
Epoch: [3][50/391]	Time 0.022 (0.024)	Loss 1.4435 (1.2052)	Prec@1 44.531 (56.311)
Epoch: [3][60/391]	Time 0.022 (0.024)	Loss 1.1768 (1.2055)	Prec@1 59.375 (56.481)
Epoch: [3][70/391]	Time 0.022 (0.023)	Loss 1.0590 (1.2044)	Prec@1 60.938 (56.470)
Epoch: [3][80/391]	Time 0.023 (0.023)	Loss 1.3654 (1.1986)	Prec@1 55.469 (56.752)
Epoch: [3][90/391]	Time 0.022 (0.023)	Loss 1.2130 (1.1938)	Prec@1 56.250 (56.868)
Epoch: [3][100/391]	Time 0.022 (0.023)	Loss 1.3458 (1.1916)	Prec@1 51.562 (56.900)
Epoch: [3][110/391]	Time 0.022 (0.023)	Loss 1.4773 (1.1919)	Prec@1 44.531 (56.764)
Epoch: [3][120/391]	Time 0.021 (0.023)	Loss 1.2701 (1.1872)	Prec@1 54.688 (56.993)
Epoch: [3][130/391]	Time 0.022 (0.023)	Loss 1.1288 (1.1840)	Prec@1 60.938 (57.103)
Epoch: [3][140/391]	Time 0.022 (0.023)	Loss 1.4008 (1.1836)	Prec@1 52.344 (57.214)
Epoch: [3][150/391]	Time 0.021 (0.023)	Loss 1.1673 (1.1796)	Prec@1 58.594 (57.321)
Epoch: [3][160/391]	Time 0.021 (0.023)	Loss 0.9930 (1.1779)	Prec@1 64.062 (57.468)
Epoch: [3][170/391]	Time 0.023 (0.023)	Loss 1.3843 (1.1786)	Prec@1 48.438 (57.397)
Epoch: [3][180/391]	Time 0.021 (0.022)	Loss 1.1127 (1.1772)	Prec@1 54.688 (57.398)
Epoch: [3][190/391]	Time 0.022 (0.022)	Loss 1.1078 (1.1747)	Prec@1 60.938 (57.538)
Epoch: [3][200/391]	Time 0.021 (0.022)	Loss 1.0342 (1.1709)	Prec@1 60.156 (57.696)
Epoch: [3][210/391]	Time 0.021 (0.022)	Loss 1.1614 (1.1679)	Prec@1 64.062 (57.857)
Epoch: [3][220/391]	Time 0.021 (0.022)	Loss 1.4290 (1.1674)	Prec@1 52.344 (57.911)
Epoch: [3][230/391]	Time 0.021 (0.022)	Loss 0.8661 (1.1658)	Prec@1 68.750 (57.958)
Epoch: [3][240/391]	Time 0.022 (0.022)	Loss 1.0110 (1.1615)	Prec@1 62.500 (58.172)
Epoch: [3][250/391]	Time 0.021 (0.022)	Loss 1.0804 (1.1593)	Prec@1 60.938 (58.292)
Epoch: [3][260/391]	Time 0.021 (0.022)	Loss 1.0959 (1.1565)	Prec@1 64.844 (58.402)
Epoch: [3][270/391]	Time 0.023 (0.022)	Loss 1.0864 (1.1545)	Prec@1 61.719 (58.464)
Epoch: [3][280/391]	Time 0.022 (0.022)	Loss 1.0158 (1.1532)	Prec@1 67.188 (58.558)
Epoch: [3][290/391]	Time 0.023 (0.022)	Loss 0.9620 (1.1499)	Prec@1 64.844 (58.707)
Epoch: [3][300/391]	Time 0.022 (0.022)	Loss 1.0695 (1.1484)	Prec@1 64.844 (58.773)
Epoch: [3][310/391]	Time 0.021 (0.022)	Loss 0.9222 (1.1459)	Prec@1 68.750 (58.903)
Epoch: [3][320/391]	Time 0.022 (0.022)	Loss 1.0221 (1.1444)	Prec@1 61.719 (58.932)
Epoch: [3][330/391]	Time 0.021 (0.022)	Loss 0.9687 (1.1410)	Prec@1 65.625 (59.061)
Epoch: [3][340/391]	Time 0.022 (0.022)	Loss 1.0721 (1.1387)	Prec@1 63.281 (59.116)
Epoch: [3][350/391]	Time 0.022 (0.022)	Loss 1.0443 (1.1363)	Prec@1 64.062 (59.192)
Epoch: [3][360/391]	Time 0.022 (0.022)	Loss 1.1299 (1.1341)	Prec@1 64.062 (59.245)
Epoch: [3][370/391]	Time 0.022 (0.022)	Loss 1.0849 (1.1317)	Prec@1 63.281 (59.348)
Epoch: [3][380/391]	Time 0.021 (0.022)	Loss 0.9212 (1.1288)	Prec@1 71.875 (59.512)
Epoch: [3][390/391]	Time 0.013 (0.022)	Loss 0.9784 (1.1267)	Prec@1 68.750 (59.642)
Test: [0/79]	Time 0.055 (0.055)	Loss 1.2230 (1.2230)	Prec@1 52.344 (52.344)
Test: [10/79]	Time 0.017 (0.020)	Loss 0.9277 (1.0962)	Prec@1 63.281 (60.511)
Test: [20/79]	Time 0.017 (0.019)	Loss 1.0471 (1.0796)	Prec@1 60.156 (60.751)
Test: [30/79]	Time 0.017 (0.018)	Loss 0.9643 (1.0624)	Prec@1 70.312 (61.895)
Test: [40/79]	Time 0.017 (0.018)	Loss 1.1036 (1.0605)	Prec@1 53.125 (61.509)
Test: [50/79]	Time 0.017 (0.018)	Loss 1.2030 (1.0532)	Prec@1 59.375 (61.933)
Test: [60/79]	Time 0.018 (0.018)	Loss 0.9939 (1.0563)	Prec@1 59.375 (61.975)
Test: [70/79]	Time 0.018 (0.018)	Loss 0.9863 (1.0535)	Prec@1 62.500 (62.060)
 * Prec@1 62.190
Epoch: [4][0/391]	Time 0.085 (0.085)	Loss 1.2491 (1.2491)	Prec@1 52.344 (52.344)
Epoch: [4][10/391]	Time 0.022 (0.028)	Loss 0.8323 (1.0637)	Prec@1 66.406 (61.577)
Epoch: [4][20/391]	Time 0.023 (0.025)	Loss 0.9624 (1.0168)	Prec@1 60.156 (63.839)
Epoch: [4][30/391]	Time 0.023 (0.024)	Loss 1.0552 (1.0100)	Prec@1 64.844 (64.012)
Epoch: [4][40/391]	Time 0.021 (0.024)	Loss 1.0201 (1.0172)	Prec@1 65.625 (63.662)
Epoch: [4][50/391]	Time 0.021 (0.023)	Loss 1.0910 (1.0095)	Prec@1 60.156 (63.955)
Epoch: [4][60/391]	Time 0.022 (0.023)	Loss 0.9715 (1.0079)	Prec@1 65.625 (63.947)
Epoch: [4][70/391]	Time 0.022 (0.023)	Loss 0.9758 (1.0088)	Prec@1 64.062 (63.831)
Epoch: [4][80/391]	Time 0.021 (0.023)	Loss 0.9155 (1.0067)	Prec@1 65.625 (64.043)
Epoch: [4][90/391]	Time 0.022 (0.023)	Loss 0.9603 (0.9992)	Prec@1 70.312 (64.243)
Epoch: [4][100/391]	Time 0.021 (0.023)	Loss 0.9840 (1.0013)	Prec@1 64.062 (64.256)
Epoch: [4][110/391]	Time 0.021 (0.023)	Loss 1.0063 (1.0024)	Prec@1 64.844 (64.316)
Epoch: [4][120/391]	Time 0.021 (0.022)	Loss 0.9743 (1.0006)	Prec@1 64.062 (64.372)
Epoch: [4][130/391]	Time 0.022 (0.022)	Loss 1.0136 (0.9956)	Prec@1 64.062 (64.605)
Epoch: [4][140/391]	Time 0.024 (0.022)	Loss 0.8604 (0.9938)	Prec@1 71.094 (64.761)
Epoch: [4][150/391]	Time 0.022 (0.022)	Loss 0.8379 (0.9951)	Prec@1 67.969 (64.751)
Epoch: [4][160/391]	Time 0.021 (0.022)	Loss 0.8406 (0.9914)	Prec@1 72.656 (64.897)
Epoch: [4][170/391]	Time 0.021 (0.022)	Loss 0.9259 (0.9927)	Prec@1 69.531 (64.798)
Epoch: [4][180/391]	Time 0.021 (0.022)	Loss 0.9268 (0.9898)	Prec@1 67.188 (64.908)
Epoch: [4][190/391]	Time 0.022 (0.022)	Loss 1.0827 (0.9876)	Prec@1 62.500 (64.966)
Epoch: [4][200/391]	Time 0.021 (0.022)	Loss 0.9692 (0.9841)	Prec@1 65.625 (65.061)
Epoch: [4][210/391]	Time 0.021 (0.022)	Loss 0.8394 (0.9809)	Prec@1 69.531 (65.162)
Epoch: [4][220/391]	Time 0.022 (0.022)	Loss 1.3190 (0.9837)	Prec@1 54.688 (65.066)
Epoch: [4][230/391]	Time 0.022 (0.022)	Loss 0.9840 (0.9845)	Prec@1 64.844 (64.976)
